timestamp_ms,z_x,z_y,z_theta
1771988508680,0,0,0
1771988508780,0,0,0
1771988508880,0,0,0
1771988508979,0,0,0
1771988509113,0,0,0
1771988509208,0,0,0
1771988509311,0,0,0
1771988509407,0,0,0
1771988509507,0,0,0
1771988509606,0,0,0
1771988509706,0,0,0
1771988509807,0,0,0
1771988509902,0,0,0
1771988510002,0,0,0
1771988510102,0,0,0
1771988510663,0,0,0
1771988510763,0,0,0
1771988510862,0,0,0
1771988510959,0,0,0
1771988511060,0,0,0
1771988511158,0,0,0
1771988511256,0,0,0
1771988511357,0,0,0
1771988511454,0,0,0
1771988511551,0,0,0
1771988511657,0,0,0
1771988511752,0,0,0
1771988511853,0,0,0
1771988511950,0,0,0
1771988512048,0,0,0
1771988512150,0,0,0
1771988512246,0,0,0
1771988512347,0,0,0
1771988512448,0,0,0
1771988512578,0,0,0
1771988512678,0,0,0
1771988512773,0,0,0
1771988512876,0,0,0
1771988512973,0,0,0
1771988513073,0,0,0
1771988513203,0,0,0
1771988513302,0,0,0
1771988513402,0,0,0
1771988513500,0,0,0
1771988513600,0,0,0
1771988513698,0,0,0
1771988513797,0,0,0
1771988513896,0,0,0
1771988513992,0,0,0
1771988514096,0,0,0
1771988514193,0,0,0
1771988514292,0,0,0
1771988514392,0,0,0
1771988514491,0,0,0
1771988514589,0,0,0
1771988514688,0,0,0
1771988514788,0,0,0
1771988514887,0,0,0
1771988514986,0,0,0
1771988515117,0,0,0
1771988515214,0,0,0
1771988515315,0,0,0
1771988515415,0,0,0
1771988515514,0,0,0
1771988515612,0,0,0
1771988515712,0,0,0
1771988515809,0,0,0
1771988515912,0,0,0
1771988516009,0,0,0
1771988516140,0,0,0
1771988516239,0,0,0
1771988516338,0,0,0
1771988516435,0,0,0
1771988516537,0,0,0
1771988516634,0,0,0
1771988516735,0,0,0
1771988516832,0,0,0
1771988516933,0,0,0
1771988517063,0,0,0
1771988517131,0,0,0
1771988517228,0,0,0
1771988517328,0,0,0
1771988517427,0,0,0
1771988517558,0,0,0
1771988517654,0,0,0
1771988517757,0,0,0
1771988517855,0,0,0
1771988517956,0,0,0
1771988518054,0,0,0
1771988518153,0,0,0
1771988518254,0,0,0
1771988518351,0,0,0
1771988518450,0,0,0
1771988518550,0,0,0
1771988518681,0,0,0
1771988518781,0,0,0
1771988518879,0,0,0
1771988518979,0,0,0
1771988519076,0,0,0
1771988519179,0,0,0
1771988519275,0,0,0
1771988519373,0,0,0
1771988519473,0,0,0
1771988519571,0,0,0
1771988519670,0,0,0
1771988519771,0,0,0
1771988519901,0,0,0
1771988520002,0,0,0
1771988520098,0,0,0
1771988520198,0,0,0
1771988520299,0,0,0
1771988520397,0,0,0
1771988520497,0,0,0
1771988520596,0,0,0
