timestamp_ms,z_x,z_y,z_theta
1771988404267,0,0,0
1771988404366,0,0,0
1771988404498,0,0,0
1771988404599,0,0,0
1771988404698,0,0,0
1771988404798,0,0,0
1771988404896,0,0,0
1771988404995,0,0,0
1771988405094,0,0,0
1771988405194,0,0,0
1771988405292,0,0,0
1771988405391,0,0,0
1771988405495,0,0,0
1771988405591,0,0,0
1771988405919,0,0,0
1771988406020,0,0,0
1771988406116,0,0,0
1771988406216,0,0,0
1771988406315,0,0,0
1771988406415,0,0,0
1771988406514,0,0,0
1771988406644,0,0,0
1771988406746,0,0,0
1771988406845,0,0,0
1771988406939,0,0,0
1771988407042,0,0,0
1771988407140,0,0,0
1771988407240,0,0,0
1771988407372,0,0,0
1771988407470,0,0,0
1771988407567,0,0,0
1771988407834,0,0,0
1771988407932,0,0,0
1771988408029,0,0,0
1771988408129,0,0,0
1771988408229,0,0,0
1771988408325,0,0,0
1771988408428,0,0,0
1771988408527,0,0,0
1771988408626,0,0,0
1771988408724,0,0,0
1771988408823,0,0,0
1771988408921,0,0,0
1771988409021,0,0,0
1771988409120,0,0,0
1771988409220,0,0,0
1771988409320,0,0,0
1771988409485,0,0,0
1771988409581,0,0,0
1771988409682,0,0,0
1771988409782,0,0,0
1771988409879,0,0,0
1771988409978,0,0,0
1771988410077,0,0,0
1771988410176,0,0,0
1771988410286,0,0,0
1771988410405,0,0,0
1771988410506,0,0,0
1771988410872,0,0,0
1771988410968,0,0,0
1771988411065,0,0,0
1771988411166,0,0,0
1771988411266,0,0,0
1771988411363,0,0,0
1771988411463,0,0,0
1771988411595,0,0,0
1771988411696,0,0,0
1771988411794,0,0,0
1771988411923,0,0,0
1771988411990,0,0,0
1771988412089,0,0,0
1771988412188,0,0,0
1771988412286,0,0,0
1771988412388,0,0,0
1771988412520,0,0,0
1771988412620,0,0,0
1771988412717,0,0,0
1771988412816,0,0,0
1771988412916,0,0,0
1771988413014,0,0,0
1771988413114,0,0,0
1771988413213,0,0,0
1771988413312,0,0,0
1771988413443,0,0,0
1771988413540,0,0,0
1771988413641,0,0,0
1771988413741,0,0,0
1771988413871,0,0,0
1771988413938,0,0,0
1771988414041,0,0,0
1771988414136,0,0,0
1771988414237,0,0,0
1771988414366,0,0,0
1771988414466,0,0,0
1771988414565,0,0,0
1771988414663,0,0,0
1771988414764,0,0,0
1771988414865,0,0,0
1771988414962,0,0,0
1771988415059,0,0,0
1771988415161,0,0,0
1771988415258,0,0,0
1771988415359,0,0,0
1771988415456,0,0,0
1771988415557,0,0,0
1771988415654,0,0,0
1771988415754,0,0,0
1771988415886,0,0,0
1771988415982,0,0,0
1771988416082,0,0,0
1771988416184,0,0,0
