timestamp_ms,z_x,z_y,z_theta
1771988549236,0,0,0
1771988549338,0,0,0
1771988549436,0,0,0
1771988549536,0,0,0
1771988549635,0,0,0
1771988549736,0,0,0
1771988549834,0,0,0
1771988549932,0,0,0
1771988550031,0,0,0
1771988550130,0,0,0
1771988550228,0,0,0
1771988550328,0,0,0
1771988550427,0,0,0
1771988550560,0,0,0
1771988550657,0,0,0
1771988550756,0,0,0
1771988550856,0,0,0
1771988550955,0,0,0
1771988551054,0,0,0
1771988551154,0,0,0
1771988551253,0,0,0
1771988551351,0,0,0
1771988551450,0,0,0
1771988551549,0,0,0
1771988551647,0,0,0
1771988551781,0,0,0
1771988551913,0,0,0
1771988551978,0,0,0
1771988552078,0,0,0
1771988552177,0,0,0
1771988552275,0,0,0
1771988552407,0,0,0
1771988552508,0,0,0
1771988552605,0,0,0
1771988552705,0,0,0
1771988552803,0,0,0
1771988552901,0,0,0
1771988553035,0,0,0
1771988553133,0,0,0
1771988553233,0,0,0
1771988553333,0,0,0
1771988553432,0,0,0
1771988553531,0,0,0
1771988553630,0,0,0
1771988553727,0,0,0
1771988553858,0,0,0
1771988553925,0,0,0
1771988554023,0,0,0
1771988554154,0,0,0
1771988554255,0,0,0
1771988554355,0,0,0
1771988554453,0,0,0
1771988554552,0,0,0
1771988554652,0,0,0
1771988554749,0,0,0
1771988554849,0,0,0
1771988554949,0,0,0
1771988555049,0,0,0
1771988555148,0,0,0
1771988555245,0,0,0
1771988555343,0,0,0
1771988555446,0,0,0
1771988555545,0,0,0
1771988555642,0,0,0
1771988555806,0,0,0
1771988555871,0,0,0
1771988555972,0,0,0
1771988556071,0,0,0
1771988556176,0,0,0
1771988556303,0,0,0
1771988556401,0,0,0
1771988556499,0,0,0
1771988556596,0,0,0
1771988556698,0,0,0
1771988556796,0,0,0
1771988556895,0,0,0
1771988556995,0,0,0
1771988557096,0,0,0
1771988557193,0,0,0
1771988557292,0,0,0
1771988557391,0,0,0
1771988557489,0,0,0
1771988557588,0,0,0
1771988557688,0,0,0
1771988557785,0,0,0
1771988557884,0,0,0
1771988557985,0,0,0
1771988558116,0,0,0
1771988558215,0,0,0
1771988558313,0,0,0
1771988558414,0,0,0
1771988558512,0,0,0
1771988558612,0,0,0
1771988558711,0,0,0
1771988558811,0,0,0
1771988558909,0,0,0
1771988559005,0,0,0
1771988559108,0,0,0
1771988559206,0,0,0
1771988559337,0,0,0
1771988559438,0,0,0
1771988559536,0,0,0
1771988559634,0,0,0
1771988559733,0,0,0
1771988561153,0,0,0
