timestamp_ms,z_x,z_y,z_theta
1771988129709,0,0,0
1771988129815,0,0,0
1771988129933,0,0,0
1771988130000,0,0,0
1771988130131,0,0,0
1771988130232,0,0,0
1771988130352,0,0,0
1771988130482,0,0,0
1771988130578,0,0,0
1771988130674,0,0,0
1771988130776,0,0,0
1771988130876,0,0,0
1771988130973,0,0,0
1771988131079,0,0,0
1771988131178,0,0,0
1771988131280,0,0,0
1771988131378,0,0,0
1771988131477,0,0,0
1771988131586,0,0,0
1771988131731,0,0,0
1771988131795,0,0,0
1771988131927,0,0,0
1771988132030,0,0,0
1771988132123,0,0,0
1771988132219,0,0,0
1771988132319,0,0,0
1771988132414,0,0,0
1771988132546,0,0,0
1771988132646,0,0,0
1771988132750,0,0,0
1771988132853,0,0,0
1771988132917,0,0,0
1771988133046,0,0,0
1771988133141,0,0,0
1771988133284,0,0,0
1771988133378,0,0,0
1771988133474,0,0,0
1771988133575,0,0,0
1771988133680,0,0,0
1771988133777,0,0,0
1771988133874,0,0,0
1771988133976,0,0,0
1771988134078,0,0,0
1771988134211,0,0,0
1771988134310,0,0,0
1771988134474,0,0,0
1771988134573,0,0,0
1771988134679,0,0,0
1771988134777,0,0,0
1771988134878,0,0,0
1771988135009,0,0,0
1771988135118,0,0,0
1771988135209,0,0,0
1771988135312,0,0,0
1771988135409,0,0,0
1771988135506,0,0,0
1771988135608,0,0,0
1771988135711,0,0,0
1771988135841,0,0,0
1771988135909,0,0,0
1771988136046,0,0,0
1771988136146,0,0,0
1771988136245,0,0,0
1771988136376,0,0,0
1771988136481,0,0,0
1771988136582,0,0,0
1771988136680,0,0,0
1771988136775,0,0,0
1771988136886,0,0,0
1771988136977,0,0,0
1771988137077,0,0,0
1771988137179,0,0,0
1771988137307,0,0,0
1771988137409,0,0,0
1771988137513,0,0,0
1771988137612,0,0,0
1771988137745,0,0,0
1771988137843,0,0,0
1771988137948,0,0,0
1771988138043,0,0,0
1771988138160,0,0,0
1771988138260,0,0,0
1771988138357,0,0,0
1771988138455,0,0,0
1771988138553,0,0,0
1771988138651,0,0,0
1771988138749,0,0,0
1771988138843,0,0,0
1771988138948,0,0,0
1771988139043,0,0,0
1771988139144,0,0,0
1771988139245,0,0,0
1771988139343,0,0,0
1771988139482,0,0,0
1771988139577,0,0,0
1771988139685,0,0,0
1771988139781,0,0,0
1771988139913,0,0,0
1771988140043,0,0,0
1771988140148,0,0,0
1771988140251,0,0,0
1771988140345,0,0,0
1771988140448,0,0,0
1771988140549,0,0,0
1771988140647,0,0,0
1771988140751,0,0,0
1771988140847,0,0,0
1771988140943,0,0,0
1771988141044,0,0,0
1771988141145,0,0,0
1771988141278,0,0,0
1771988141384,0,0,0
1771988141484,0,0,0
1771988141613,0,0,0
