Time_s,X,Y,Lateral_Error_m,Remaining_Dist_m,Heading_Error_rad,Speed_Cmd,Steer_Cmd
0.0989,1.0166,1.5965,0.0000,0.5000,0.0000,80.00,0.00
0.1995,1.0509,1.6034,-0.0000,0.4650,0.0077,80.00,0.83
0.3260,1.1610,1.6245,-0.0010,0.3530,-0.0011,80.00,-0.16
0.4288,1.2055,1.6333,-0.0011,0.3075,0.0069,80.00,0.76
0.5294,1.2406,1.6401,-0.0014,0.2718,0.0145,80.00,1.51
0.6302,1.2747,1.6464,-0.0019,0.2371,0.0235,80.00,2.42
0.7299,1.2658,1.6446,-0.0019,0.2462,0.0592,80.00,6.21
0.8295,1.2996,1.6493,-0.0040,0.2121,0.0784,80.00,7.99
0.9303,1.3335,1.6533,-0.0067,0.1782,0.0997,80.00,10.14
1.0305,1.3674,1.6566,-0.0101,0.1442,0.1242,80.00,12.61
1.1314,1.4023,1.6592,-0.0145,0.1095,0.1598,80.00,16.26
1.2417,1.4835,1.6638,-0.0259,0.0000,0.0000,0.00,0.00
