Time_s,X,Y,Lateral_Error_m,Remaining_Dist_m,Heading_Error_rad,Speed_Cmd,Steer_Cmd
0.0894,0.2830,0.2286,0.0000,1.2000,0.0000,80.00,0.00
0.1891,0.2833,0.2430,0.0000,1.1856,0.0011,80.00,0.03
0.2904,0.2840,0.2777,-0.0001,1.1509,0.0086,80.00,0.23
0.3912,0.2850,0.3132,-0.0004,1.1154,0.0201,80.00,0.49
0.5039,0.2834,0.2477,-0.0000,1.1809,0.0036,80.00,-0.04
0.6068,0.2843,0.2869,-0.0002,1.1417,0.0104,80.00,0.26
0.7082,0.2854,0.3211,-0.0006,1.1075,0.0174,80.00,0.40
0.8096,0.2866,0.3553,-0.0012,1.0733,0.0249,80.00,0.56
0.9417,0.2839,0.2802,0.0001,1.1484,0.0124,80.00,0.17
1.0422,0.2854,0.3266,-0.0005,1.1020,0.0210,80.00,0.49
1.1756,0.2867,0.3619,-0.0011,1.0667,0.0270,80.00,0.57
1.2764,0.2888,0.4080,-0.0023,1.0205,0.0397,80.00,0.89
1.4123,0.2848,0.3047,-0.0004,1.1239,0.0193,80.00,0.27
1.5136,0.2862,0.3392,-0.0010,1.0894,0.0374,80.00,0.89
1.6141,0.2881,0.3734,-0.0023,1.0552,0.0475,80.00,1.03
1.7132,0.2904,0.4080,-0.0039,1.0205,0.0563,80.00,1.20
1.8143,0.2928,0.4405,-0.0057,0.9880,0.0629,80.00,1.31
1.9222,0.2896,0.3963,-0.0034,1.0322,0.0521,80.00,0.96
2.0230,0.2924,0.4348,-0.0054,0.9937,0.0631,80.00,1.35
2.1237,0.2952,0.4695,-0.0076,0.9589,0.0737,80.00,1.56
2.2245,0.2984,0.5041,-0.0102,0.9243,0.0855,80.00,1.80
2.3253,0.2961,0.4928,-0.0081,0.9357,0.0565,80.00,0.90
2.4253,0.2987,0.5270,-0.0100,0.9014,0.0646,80.00,1.36
2.5257,0.3016,0.5607,-0.0122,0.8676,0.0743,80.00,1.56
2.6264,0.3049,0.5960,-0.0149,0.8323,0.0825,80.00,1.72
2.7452,0.3032,0.5909,-0.0133,0.8374,0.0678,80.00,1.26
2.8620,0.3085,0.6384,-0.0176,0.7898,0.1103,80.00,2.50
2.9617,0.3137,0.6786,-0.0221,0.7496,0.1250,80.00,2.62
3.0624,0.3187,0.7131,-0.0265,0.7149,0.1361,80.00,2.81
3.1627,0.3243,0.7491,-0.0314,0.6789,0.1506,80.00,3.13
3.2738,0.3205,0.7170,-0.0282,0.7109,0.1542,80.00,3.11
3.3774,0.3272,0.7551,-0.0341,0.6728,0.1681,80.00,3.47
3.4777,0.3339,0.7905,-0.0401,0.6373,0.1848,80.00,3.83
3.5783,0.3408,0.8245,-0.0464,0.6032,0.1990,80.00,4.09
3.7050,0.3380,0.8163,-0.0438,0.6114,0.1852,80.00,3.62
3.8045,0.3470,0.8596,-0.0520,0.5679,0.2065,80.00,4.30
3.9058,0.3550,0.8944,-0.0592,0.5330,0.2212,80.00,4.54
4.0076,0.3631,0.9275,-0.0667,0.4997,0.2346,80.00,4.80
4.1085,0.3574,0.9134,-0.0613,0.5139,0.2255,80.00,4.44
4.2094,0.3660,0.9481,-0.0693,0.4791,0.2418,80.00,4.96
4.3107,0.3751,0.9820,-0.0777,0.4450,0.2597,80.00,5.33
4.4108,0.3847,1.0156,-0.0867,0.4112,0.2771,80.00,5.68
4.5115,0.3949,1.0491,-0.0963,0.3775,0.2983,80.00,6.13
4.6683,0.3894,1.0361,-0.0910,0.3906,0.3011,80.00,6.04
4.7686,0.4070,1.0893,-0.1076,0.3371,0.3340,80.00,6.94
4.8682,0.4192,1.1225,-0.1192,0.3037,0.3548,80.00,7.26
4.9696,0.4321,1.1553,-0.1314,0.2706,0.3767,80.00,7.71
5.0888,0.4303,1.1453,-0.1298,0.2807,0.3919,80.00,7.94
5.1890,0.4470,1.1834,-0.1457,0.2423,0.4199,80.00,8.62
5.2894,0.4619,1.2152,-0.1601,0.2102,0.4452,80.00,9.11
5.3883,0.4780,1.2474,-0.1755,0.1776,0.4730,80.00,9.68
5.4964,0.4374,1.1679,-0.1365,0.2579,0.3997,80.00,7.45
5.5966,0.4526,1.2020,-0.1510,0.2235,0.4240,80.00,8.67
5.6976,0.4676,1.2337,-0.1654,0.1916,0.4492,80.00,9.18
5.7971,0.4832,1.2648,-0.1804,0.1602,0.4764,80.00,9.75
5.9369,0.4463,1.1875,-0.1450,0.2381,0.3946,80.00,7.42
