Time_s,X,Y,Lateral_Error_m,Remaining_Dist_m,Heading_Error_rad,Speed_Cmd,Steer_Cmd
6.0370,0.4473,1.1893,-0.1459,0.2364,0.3944,80.00,7.89
6.1383,0.4609,1.2202,-0.1589,0.2052,0.4142,80.00,8.44
6.2387,0.4751,1.2511,-0.1726,0.1740,0.4388,80.00,8.97
6.3690,0.4902,1.2818,-0.1871,0.1431,0.4586,80.00,9.29
6.4924,0.4562,1.2096,-0.1545,0.2159,0.4111,80.00,7.92
6.5938,0.4743,1.2489,-0.1718,0.1762,0.4412,80.00,9.06
6.6948,0.4900,1.2806,-0.1869,0.1443,0.4684,80.00,9.58
6.7953,0.5064,1.3116,-0.2027,0.1130,0.4982,80.00,10.20
6.9204,0.4713,1.2420,-0.1689,0.1832,0.4183,80.00,7.85
7.0216,0.4891,1.2801,-0.1861,0.1448,0.4441,80.00,9.08
7.1222,0.5049,1.3113,-0.2012,0.1132,0.4702,80.00,9.61
7.2230,0.5216,1.3427,-0.2173,0.0816,0.4968,80.00,10.15
7.3627,0.4747,1.2482,-0.1722,0.1769,0.4281,80.00,8.17
7.4637,0.4752,1.2494,-0.1727,0.1758,0.4278,80.00,8.55
7.5660,0.4906,1.2815,-0.1875,0.1434,0.4527,80.00,9.25
7.6664,0.5065,1.3127,-0.2028,0.1119,0.4773,80.00,9.74
7.7669,0.5236,1.3442,-0.2193,0.0800,0.5050,80.00,10.32
7.9217,0.4869,1.2725,-0.1840,0.1524,0.4631,80.00,9.05
8.0285,0.5118,1.3200,-0.2080,0.1044,0.5054,80.00,10.42
8.1295,0.5308,1.3529,-0.2263,0.0712,0.5365,80.00,10.98
8.2708,0.5494,1.3829,-0.2443,0.0409,0.5647,80.00,11.45
8.4056,0.5020,1.3010,-0.1985,0.1236,0.5038,80.00,9.71
8.5066,0.5248,1.3405,-0.2205,0.0837,0.5379,80.00,11.03
8.6076,0.5436,1.3708,-0.2387,0.0531,0.5658,80.00,11.54
8.7085,0.5625,1.3993,-0.2572,0.0000,0.0000,0.00,0.00
