Time_s,X,Y,Lateral_Error_m,Remaining_Dist_m,Heading_Error_rad,Speed_Cmd,Steer_Cmd
0.0440,0.2453,0.1496,-0.0000,1.0000,0.0000,60.00,0.00
0.1449,0.2444,0.1763,0.0000,0.9733,0.0046,58.40,0.13
0.2697,0.2441,0.1662,0.0006,0.9833,0.0012,59.00,0.00
0.3730,0.2430,0.2004,0.0005,0.9492,0.0083,56.95,0.22
0.4728,0.2424,0.2256,0.0003,0.9239,0.0130,55.43,0.30
0.5730,0.2418,0.2502,0.0001,0.8993,0.0182,53.96,0.41
0.6745,0.2416,0.1698,0.0030,0.9797,0.0241,58.78,0.53
0.7749,0.2415,0.1843,0.0026,0.9651,0.0272,57.91,0.57
0.8764,0.2413,0.2085,0.0019,0.9410,0.0316,56.46,0.67
0.9770,0.2413,0.2331,0.0011,0.9164,0.0366,54.98,0.77
1.0774,0.2413,0.2573,0.0003,0.8922,0.0437,53.53,0.93
1.1776,0.2411,0.1877,0.0028,0.9618,0.0164,57.71,0.11
1.2831,0.2407,0.2139,0.0024,0.9356,0.0193,56.14,0.41
1.3833,0.2403,0.2401,0.0019,0.9093,0.0241,54.56,0.52
1.4848,0.2402,0.2637,0.0012,0.8858,0.0280,53.15,0.59
1.5937,0.2409,0.1959,0.0028,0.9536,0.0128,57.21,0.15
1.7080,0.2407,0.2100,0.0025,0.9394,0.0242,56.37,0.56
1.8087,0.2404,0.2375,0.0019,0.9119,0.0290,54.72,0.62
1.9099,0.2403,0.2616,0.0011,0.8879,0.0344,53.27,0.73
2.0110,0.2404,0.2864,0.0003,0.8631,0.0395,51.79,0.83
2.1218,0.2406,0.2069,0.0027,0.9426,0.0190,56.56,0.23
2.2248,0.2402,0.2354,0.0022,0.9141,0.0262,54.85,0.58
2.3249,0.2401,0.2609,0.0014,0.8886,0.0333,53.32,0.72
2.4247,0.2401,0.2852,0.0006,0.8643,0.0420,51.86,0.91
2.5248,0.2405,0.2092,0.0027,0.9403,0.0249,56.42,0.36
2.6260,0.2404,0.2250,0.0023,0.9244,0.0309,55.47,0.67
2.7339,0.2404,0.2500,0.0015,0.8994,0.0379,53.97,0.81
2.8318,0.2405,0.2746,0.0005,0.8749,0.0438,52.50,0.92
2.9326,0.2407,0.2969,-0.0004,0.8527,0.0487,51.16,1.01
3.0343,0.2407,0.2075,0.0026,0.9420,0.0279,56.52,0.40
3.1361,0.2406,0.2324,0.0019,0.9171,0.0341,55.03,0.73
3.2371,0.2406,0.2555,0.0011,0.8940,0.0388,53.64,0.81
3.3377,0.2406,0.2789,0.0002,0.8706,0.0437,52.23,0.91
3.4784,0.2406,0.2129,0.0025,0.9365,0.0323,56.19,0.58
3.5789,0.2405,0.2464,0.0014,0.9031,0.0459,54.18,1.03
3.6792,0.2408,0.2698,0.0003,0.8797,0.0508,52.78,1.06
3.7800,0.2412,0.2942,-0.0009,0.8554,0.0569,51.32,1.19
3.8810,0.2417,0.3170,-0.0022,0.8326,0.0627,50.00,1.30
4.0041,0.2405,0.2224,0.0022,0.9270,0.0331,55.62,0.47
4.1049,0.2405,0.2532,0.0012,0.8963,0.0420,53.78,0.91
4.2058,0.2408,0.2768,0.0002,0.8727,0.0472,52.36,0.98
4.3068,0.2411,0.3004,-0.0009,0.8491,0.0547,50.95,1.15
4.4316,0.2404,0.2223,0.0024,0.9272,0.0308,55.63,0.46
4.5337,0.2404,0.2521,0.0014,0.8974,0.0419,53.84,0.92
4.6348,0.2406,0.2763,0.0004,0.8732,0.0474,52.39,0.99
4.7352,0.2410,0.2996,-0.0008,0.8500,0.0543,51.00,1.14
4.8357,0.2414,0.3216,-0.0020,0.8279,0.0596,50.00,1.23
4.9814,0.2404,0.2216,0.0024,0.9279,0.0182,55.67,0.14
5.0813,0.2399,0.2578,0.0017,0.8917,0.0257,53.50,0.57
5.1807,0.2397,0.2812,0.0011,0.8682,0.0313,52.09,0.67
5.2816,0.2396,0.3037,0.0004,0.8458,0.0383,50.75,0.82
5.3926,0.2404,0.2224,0.0024,0.9271,0.0172,55.62,0.19
5.4937,0.2399,0.2489,0.0020,0.9006,0.0241,54.04,0.54
5.5953,0.2397,0.2719,0.0014,0.8775,0.0286,52.65,0.61
5.6960,0.2396,0.2946,0.0007,0.8548,0.0352,51.29,0.76
5.7972,0.2396,0.3168,-0.0000,0.8326,0.0406,50.00,0.86
5.9360,0.2402,0.2320,0.0023,0.9174,0.0148,55.05,0.15
6.0366,0.2395,0.2665,0.0018,0.8830,0.0227,52.98,0.52
6.1367,0.2392,0.2900,0.0013,0.8595,0.0294,51.57,0.64
6.2376,0.2391,0.3130,0.0006,0.8365,0.0352,50.19,0.75
6.3590,0.2401,0.2357,0.0022,0.9138,0.0153,54.83,0.18
6.4606,0.2396,0.2646,0.0018,0.8848,0.0205,53.09,0.45
6.5605,0.2400,0.2411,0.0021,0.9084,0.0153,54.50,0.26
6.6612,0.2396,0.2659,0.0017,0.8836,0.0232,53.01,0.53
6.7624,0.2393,0.2905,0.0012,0.8589,0.0303,51.54,0.66
6.8756,0.2399,0.2487,0.0020,0.9007,0.0319,54.04,0.65
7.0353,0.2398,0.2746,0.0012,0.8749,0.0389,52.49,0.81
7.1360,0.2400,0.3094,-0.0002,0.8401,0.0467,50.40,0.99
7.2420,0.2404,0.3315,-0.0013,0.8180,0.0552,50.00,1.17
7.3482,0.2401,0.2355,0.0022,0.9140,0.0171,54.84,0.06
7.4490,0.2397,0.2609,0.0018,0.8886,0.0225,53.31,0.49
7.5497,0.2394,0.2846,0.0012,0.8648,0.0278,51.89,0.60
7.6501,0.2393,0.3087,0.0005,0.8408,0.0307,50.45,0.64
7.7691,0.2401,0.2388,0.0022,0.9107,0.0205,54.64,0.34
7.8685,0.2398,0.2592,0.0017,0.8903,0.0433,53.42,1.05
7.9727,0.2401,0.2830,0.0007,0.8665,0.0511,51.99,1.08
8.0734,0.2405,0.3066,-0.0006,0.8429,0.0567,50.57,1.18
8.1730,0.2410,0.3304,-0.0019,0.8192,0.0623,50.00,1.29
8.3019,0.2400,0.2476,0.0019,0.9019,0.0367,54.11,0.57
8.4015,0.2401,0.2798,0.0007,0.8697,0.0424,52.18,0.89
8.5011,0.2403,0.3025,-0.0003,0.8470,0.0482,50.82,1.01
8.6017,0.2406,0.3250,-0.0013,0.8245,0.0545,50.00,1.14
8.7057,0.2400,0.2519,0.0018,0.8976,0.0381,53.85,0.64
8.8089,0.2401,0.2616,0.0014,0.8879,0.0405,53.27,0.83
8.9094,0.2402,0.2857,0.0004,0.8638,0.0461,51.83,0.97
9.0097,0.2405,0.3101,-0.0007,0.8394,0.0524,50.36,1.10
9.1106,0.2409,0.3328,-0.0019,0.8167,0.0588,50.00,1.23
9.2277,0.2400,0.2563,0.0016,0.8931,0.0439,53.59,0.78
9.3286,0.2403,0.2841,0.0004,0.8653,0.0520,51.92,1.11
9.4295,0.2407,0.3064,-0.0008,0.8432,0.0576,50.59,1.20
9.5312,0.2414,0.3300,-0.0022,0.8196,0.0645,50.00,1.35
9.6539,0.2401,0.2575,0.0015,0.8920,0.0415,53.52,0.68
9.7539,0.2401,0.2624,0.0013,0.8870,0.0418,53.22,0.84
9.8551,0.2403,0.2854,0.0004,0.8641,0.0481,51.84,1.01
9.9560,0.2406,0.3073,-0.0007,0.8422,0.0552,50.53,1.16
10.0568,0.2411,0.3294,-0.0019,0.8201,0.0617,50.00,1.29
10.1583,0.2401,0.2614,0.0014,0.8881,0.0442,53.29,0.75
10.2615,0.2403,0.2854,0.0003,0.8641,0.0499,51.85,1.04
10.3619,0.2407,0.3093,-0.0009,0.8402,0.0570,50.41,1.20
10.4885,0.2413,0.3310,-0.0022,0.8186,0.0622,50.00,1.28
10.5893,0.2401,0.2613,0.0014,0.8881,0.0448,53.29,0.76
10.6903,0.2402,0.2727,0.0009,0.8768,0.0503,52.61,1.05
10.7910,0.2406,0.2967,-0.0004,0.8528,0.0588,51.17,1.24
10.9060,0.2412,0.3192,-0.0017,0.8303,0.0659,50.00,1.37
11.0066,0.2420,0.3447,-0.0034,0.8049,0.0752,50.00,1.58
11.1118,0.2401,0.2636,0.0013,0.8859,0.0470,53.16,0.72
11.2119,0.2404,0.2875,0.0001,0.8620,0.0525,51.72,1.09
