Time_s,X,Y,Lateral_Error_m,Remaining_Dist_m,Heading_Error_rad,Speed_Cmd,Steer_Cmd
0.0425,0.5044,1.3050,0.0000,0.5000,0.0000,80.00,0.00
0.1436,0.5529,1.3897,0.0000,0.4024,0.1119,80.00,12.08
0.2478,0.5922,1.4415,-0.0084,0.3379,0.2276,80.00,20.00
0.3493,0.6160,1.4671,-0.0163,0.3038,0.2738,80.00,20.00
0.4502,0.6418,1.4924,-0.0261,0.2691,0.3227,80.00,20.00
0.5510,0.6668,1.5147,-0.0367,0.2373,0.3715,80.00,20.00
0.6739,0.6895,1.5247,-0.0514,0.2174,0.4843,80.00,20.00
0.7750,0.7266,1.5482,-0.0720,0.1785,0.5450,80.00,20.00
0.8752,0.7574,1.5653,-0.0902,0.1484,0.5955,80.00,20.00
0.9749,0.7882,1.5803,-0.1095,0.1200,0.6439,80.00,20.00
1.0745,0.6991,1.5198,-0.0622,0.2168,0.5698,80.00,20.00
1.1746,0.7048,1.5244,-0.0649,0.2100,0.5623,80.00,20.00
1.2749,0.7341,1.5400,-0.0825,0.1819,0.6100,80.00,20.00
1.3756,0.7655,1.5549,-0.1024,0.1534,0.6595,80.00,20.00
1.4830,0.7307,1.5336,-0.0828,0.1891,0.6877,80.00,20.00
1.5836,0.7672,1.5473,-0.1076,0.1591,0.7471,80.00,20.00
1.6902,0.8009,1.5580,-0.1315,0.1331,0.7991,80.00,20.00
1.7909,0.8368,1.5672,-0.1582,0.1073,0.8536,80.00,20.00
1.8923,0.8706,1.5739,-0.1842,0.0846,0.9018,80.00,20.00
1.9927,0.7809,1.5506,-0.1179,0.1495,0.7987,80.00,20.00
2.0926,0.8147,1.5592,-0.1430,0.1251,0.8504,80.00,20.00
2.1939,0.8478,1.5659,-0.1683,0.1030,0.8993,80.00,20.00
2.3384,0.8826,1.5713,-0.1959,0.0809,0.9464,80.00,20.00
2.4553,0.7982,1.5555,-0.1305,0.1366,0.8198,80.00,20.00
2.5574,0.8377,1.5647,-0.1602,0.1090,0.8803,80.00,20.00
2.6587,0.8718,1.5706,-0.1869,0.0869,0.9273,80.00,20.00
2.7585,0.9057,1.5748,-0.2141,0.0664,0.9751,80.00,20.00
2.8697,0.8574,1.5700,-0.1746,0.0946,0.8735,80.00,20.00
2.9704,0.8942,1.5767,-0.2032,0.0705,0.9262,80.00,20.00
3.0777,0.9295,1.5812,-0.2316,0.0491,0.9757,80.00,20.00
3.1783,0.9669,1.5839,-0.2628,0.0000,0.0000,0.00,0.00
